,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Awjilah,LY,29.1081,21.2869,72.14,49,78,5.68,broken clouds
80,Bambous Virieux,MU,-20.3428,57.7575,68.25,73,20,5.75,few clouds
81,Port Antonio,JM,18.18,-76.4612,84.11,82,52,7.29,broken clouds
82,Punta Arenas,CL,-53.15,-70.9167,42.91,61,0,26.46,light rain
83,Saint-Philippe,RE,-21.3585,55.7679,65.79,72,32,7.78,scattered clouds
84,Bonfim,BR,3.0833,-59.95,80.31,78,100,6.73,overcast clouds
85,Sena Madureira,BR,-9.0656,-68.6569,83.12,56,90,1.05,overcast clouds
86,Saint-Pierre,RE,-21.3393,55.4781,65.91,68,20,5.75,few clouds
87,Mahebourg,MU,-20.4081,57.7,68.29,73,20,5.75,few clouds
88,Cocal,BR,-28.6167,-49.35,64.51,96,58,1.61,broken clouds
89,Ibra,OM,22.6906,58.5334,71.6,40,99,2.59,overcast clouds
90,Arlit,NE,18.7369,7.3853,79.57,21,0,18.25,clear sky
91,Sandy Bay,AU,-42.913,147.3532,61.3,62,20,5.75,few clouds
92,Axim,GH,4.8699,-2.2405,77.14,87,34,6.89,light rain
93,Belyy Yar,RU,53.6039,91.3903,33.69,90,0,4.47,clear sky
94,Pemba,MZ,-12.974,40.5178,75.34,80,4,9.1,clear sky
95,Aksay,RU,47.26,39.87,50.25,78,100,5.99,overcast clouds
96,Hammerfest,NO,70.6634,23.6821,34.25,80,75,11.5,light shower sleet
97,Ergani,TR,38.2653,39.7621,62.35,47,6,0.45,clear sky
98,Riachao Das Neves,BR,-11.7461,-44.91,79.66,24,9,4.38,clear sky
99,Calvinia,ZA,-31.4707,19.776,64.06,49,32,5.91,scattered clouds
100,Beloha,MG,-25.1667,45.05,70.41,71,1,12.8,clear sky
101,Praia Da Vitoria,PT,38.7333,-27.0667,62.76,91,100,22.26,overcast clouds
102,Catamarca,AR,-28.4696,-65.7852,65.59,96,95,1.99,overcast clouds
