,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
341,Tutoia,BR,-2.7619,-42.2744,79.75,82,15,13.44,few clouds
342,Sassandra,CI,4.95,-6.0833,75.85,91,71,4.92,broken clouds
343,Bud,US,39.447,-86.1758,48.33,36,3,11.12,clear sky
344,Havelock,US,34.8791,-76.9013,55.94,65,0,5.75,clear sky
345,Qasigiannguit,GL,68.8193,-51.1922,26.85,96,96,6.08,overcast clouds
346,Sao Filipe,CV,14.8961,-24.4956,79.38,80,31,3.13,scattered clouds
347,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,76,75,7.0,broken clouds
348,Yining,CN,29.0361,114.5636,51.39,51,77,1.57,broken clouds
349,Arapiraca,BR,-9.7525,-36.6611,69.1,84,44,7.9,scattered clouds
350,Yar-Sale,RU,66.8333,70.8333,35.55,92,99,15.9,overcast clouds
351,La Macarena,CO,2.1837,-73.7849,74.55,96,93,2.04,overcast clouds
352,Lodeynoye Pole,RU,60.726,33.5531,35.24,87,92,3.42,overcast clouds
353,Adrar,MR,20.5022,-10.0711,86.92,13,39,8.41,scattered clouds
354,Kamenka,RU,51.3223,42.7678,47.59,85,100,8.05,overcast clouds
355,Gboko,NG,7.3179,8.9951,75.7,87,100,5.73,light rain
356,Umea,SE,63.8284,20.2597,40.91,87,70,9.22,broken clouds
357,Klobuck,PL,50.9008,18.9367,34.45,75,6,4.43,clear sky
358,Mwene-Ditu,CD,-7.0,23.45,66.22,94,100,0.47,overcast clouds
359,Sumbe,AO,-11.2061,13.8437,74.59,86,83,10.65,broken clouds
360,Capoterra,IT,39.1763,8.9718,65.53,89,0,3.44,clear sky
361,Marawi,PH,7.9986,124.2928,72.61,90,100,2.15,overcast clouds
362,Gat,IL,31.61,34.7642,69.4,71,64,1.61,broken clouds
363,Vasteras,SE,59.6162,16.5528,38.86,81,58,4.61,broken clouds
364,Massaguet,TD,12.4755,15.4365,84.65,20,100,8.39,overcast clouds
365,Pascagoula,US,30.3658,-88.5561,62.42,38,0,3.44,clear sky
366,Camapua,BR,-19.5314,-54.0439,77.4,58,32,5.79,scattered clouds
367,Coihaique,CL,-45.5752,-72.0662,53.55,66,75,6.91,broken clouds
368,Soyo,AO,-6.1349,12.3689,76.24,85,27,8.7,scattered clouds
369,Havre-Saint-Pierre,CA,50.2334,-63.5986,52.16,100,100,23.02,moderate rain
370,San Antonio,US,29.4241,-98.4936,76.48,29,0,9.22,clear sky
371,Nosy Varika,MG,-20.5833,48.5333,69.53,82,67,2.28,broken clouds
372,Chamba,IN,32.5667,76.1333,61.59,54,100,6.17,overcast clouds
373,Trairi,BR,-3.2778,-39.2689,79.18,80,33,14.18,scattered clouds
374,Sao Domingos Do Maranhao,BR,-5.5758,-44.3853,85.23,42,58,3.85,broken clouds
375,Valparaiso,CL,-33.0393,-71.6273,61.03,72,0,8.05,clear sky
376,Martin,US,27.0837,-80.4164,65.91,90,100,8.34,overcast clouds
377,Lages,BR,-27.8161,-50.3261,59.99,97,57,2.84,broken clouds
378,Manor,IN,19.75,72.9167,75.6,87,13,2.77,few clouds
379,Cozumel,MX,20.5083,-86.9458,77.95,93,100,13.8,light rain
380,Tessalit,ML,20.1986,1.0114,80.87,21,27,9.1,scattered clouds
381,Wajir,KE,1.7471,40.0573,76.12,60,60,13.85,broken clouds
382,Vizinga,RU,61.0749,50.1031,32.9,88,87,7.34,overcast clouds
383,Huancabamba,PE,-5.2386,-79.4506,59.05,90,100,2.64,light rain
384,Hualmay,PE,-11.0964,-77.6139,62.87,81,56,11.07,broken clouds
385,Nioki,CD,-2.7167,17.6833,72.77,91,69,2.64,light rain
386,Antofagasta,CL,-23.65,-70.4,60.08,79,28,7.02,scattered clouds
387,Vytegra,RU,61.0064,36.4481,39.13,76,97,10.49,overcast clouds
388,Rio Grande,BR,-32.035,-52.0986,62.71,95,9,6.89,clear sky
389,Omboue,GA,-1.5746,9.2618,76.84,89,96,8.79,light rain
390,Jacmel,HT,18.2342,-72.5347,84.04,85,19,2.82,light rain
391,Cabanas,CU,22.9758,-82.9219,73.2,89,100,14.09,overcast clouds
392,Izhma,RU,65.0083,53.9113,32.7,97,100,7.85,light snow
393,Abha,SA,18.2164,42.5053,57.45,26,0,0.0,clear sky
394,Vila Velha,BR,-20.3297,-40.2925,71.55,97,100,2.3,overcast clouds
395,Dingli,MT,35.8614,14.3822,65.8,64,0,1.01,clear sky
396,Saint-Joseph,RE,-21.3667,55.6167,64.78,71,15,7.36,few clouds
397,Ravar,IR,31.2656,56.8055,64.11,33,3,2.62,clear sky
398,Kirovskiy,RU,45.0917,133.5136,41.7,66,11,7.9,few clouds
399,Diveyevo,RU,55.0433,43.2418,41.7,94,11,4.83,few clouds
400,Carndonagh,IE,55.25,-7.2667,50.94,88,100,21.68,overcast clouds
401,Ngora,UG,1.4314,33.7772,66.0,89,100,4.34,overcast clouds
402,Faya,SA,18.3851,42.4509,57.72,41,0,5.03,clear sky
403,Morlaix,FR,48.5833,-4.0,59.22,90,100,5.75,overcast clouds
404,Quimper,FR,48.0,-4.1,59.58,94,0,4.61,clear sky
405,Hamilton,US,39.1834,-84.5333,51.31,38,0,10.36,clear sky
406,Itapirapua,BR,-15.8233,-50.6133,87.96,26,24,2.46,few clouds
407,Staroutkinsk,RU,57.2302,59.3348,35.11,89,100,7.7,overcast clouds
408,Calabozo,VE,8.9242,-67.4293,78.3,82,77,4.72,broken clouds
409,Muleba,TZ,-1.8397,31.6544,68.79,72,96,4.32,overcast clouds
410,Monte Alegre,BR,-2.0078,-54.0692,80.2,74,39,4.99,scattered clouds
411,Skjervoy,NO,70.0311,20.9714,39.2,71,100,22.73,overcast clouds
412,Bartica,GY,6.4,-58.6167,80.92,92,90,3.53,light rain
413,Hashtrud,IR,37.4779,47.0508,53.46,47,15,2.08,few clouds
414,Tabou,CI,4.423,-7.3528,76.26,89,92,6.24,light rain
415,Villa Carlos Paz,AR,-31.4241,-64.4978,58.89,91,100,1.01,overcast clouds
416,Kashi,CN,39.4547,75.9797,60.01,18,99,17.9,overcast clouds
417,Gangapur,IN,26.4833,76.7167,71.01,55,16,5.61,few clouds
418,Muravlenko,RU,63.7898,74.523,36.3,97,100,13.67,overcast clouds
419,Robore,BO,-18.3333,-59.75,77.61,71,39,3.44,scattered clouds
420,Martinsicuro,IT,42.8811,13.9145,66.13,71,0,5.17,clear sky
421,Kautokeino,NO,69.0125,23.0412,33.39,88,82,5.86,broken clouds
422,Gravdal,NO,68.1214,13.5031,46.29,75,98,4.81,overcast clouds
423,Wattegama,LK,6.7989,81.4808,74.32,90,100,1.41,overcast clouds
424,Mehamn,NO,71.0357,27.8492,37.31,69,75,29.93,broken clouds
425,Maarianhamina,AX,60.0973,19.9348,44.46,81,0,5.75,clear sky
426,Urengoy,RU,65.9667,78.3667,36.97,89,100,13.56,overcast clouds
427,Quatre Cocos,MU,-20.2078,57.7625,68.11,69,52,11.14,broken clouds
428,Machico,PT,32.7,-16.7667,75.83,64,20,5.75,few clouds
429,Shahrud,IR,36.4182,54.9763,54.97,49,0,1.57,clear sky
430,Saint-Augustin,CA,51.226,-58.6502,51.73,86,97,13.42,overcast clouds
431,Elizabeth City,US,36.2946,-76.2511,53.62,60,0,5.75,clear sky
432,Varkaus,FI,62.3153,27.873,37.31,98,100,5.39,overcast clouds
433,Savannah Bight,HN,16.45,-85.85,82.6,77,69,11.05,light rain
434,Ilebo,CD,-4.3167,20.5833,70.65,98,97,2.46,overcast clouds
435,Danville,US,36.586,-79.395,48.78,67,0,0.0,clear sky
436,La Plata,AR,-34.9215,-57.9545,62.83,85,78,9.35,light rain
437,Aksarayskiy,RU,46.7924,48.0119,59.43,75,50,7.09,scattered clouds
438,Shediac,CA,46.2198,-64.5411,58.35,82,100,16.11,moderate rain
439,Zhanaozen,KZ,43.3,52.8,54.25,52,100,19.98,overcast clouds
440,Methoni,GR,36.8197,21.7049,65.21,71,0,2.71,clear sky
441,Pimentel,PE,-6.8367,-79.9342,64.69,72,0,23.02,clear sky
442,Tigre,AR,-34.426,-58.5796,69.06,82,0,9.22,clear sky
443,Pital,CO,2.2665,-75.8044,73.72,81,100,3.29,overcast clouds
444,Mahajanga,MG,-15.7167,46.3167,71.62,60,0,8.05,clear sky
445,Rorvik,NO,64.8621,11.2373,44.71,87,100,10.36,overcast clouds
446,Mercedes,AR,-34.6515,-59.4307,69.78,69,100,6.78,overcast clouds
447,Bilkha,IN,21.4333,70.6,73.11,53,6,3.31,clear sky
448,Cherusti,RU,55.5498,40.0107,38.21,96,40,4.74,scattered clouds
449,Rundu,NA,-17.9333,19.7667,68.34,58,94,3.31,overcast clouds
450,Macesu De Sus,RO,43.9167,23.7,51.67,56,0,12.57,clear sky
451,Borba,BR,-4.3878,-59.5939,80.8,72,87,1.7,heavy intensity rain
452,Shu,KZ,43.5983,73.7614,43.02,77,89,8.5,overcast clouds
453,Olafsvik,IS,64.8945,-23.7142,44.74,82,100,18.63,overcast clouds
454,Cotonou,BJ,6.3654,2.4183,80.58,83,40,11.5,scattered clouds
455,Wah,PK,33.798,72.6957,64.0,67,76,5.97,broken clouds
456,Sao Desiderio,BR,-12.3633,-44.9733,77.56,19,7,5.06,clear sky
457,Pine Castle,US,28.472,-81.3679,63.99,60,40,10.36,scattered clouds
458,Vardo,NO,70.3705,31.1107,33.78,75,75,33.38,light intensity shower rain
459,Kajaani,FI,64.2273,27.7285,37.45,93,75,3.44,broken clouds
460,Itarema,BR,-2.9248,-39.9167,79.23,80,44,17.43,scattered clouds
461,Mwanza,TZ,-2.5167,32.9,73.0,66,100,0.83,overcast clouds
462,Chornukhy,UA,50.2673,32.942,47.53,78,100,12.55,overcast clouds
463,Capanema,BR,-1.1958,-47.1808,78.75,78,99,7.67,overcast clouds
464,Hemsedal,NO,60.8629,8.5534,32.16,60,0,3.04,clear sky
465,Sorland,NO,67.667,12.6934,40.86,69,97,9.42,overcast clouds
466,Umarkot,PK,25.3616,69.7362,75.45,58,29,7.99,scattered clouds
467,Maceio,BR,-9.6658,-35.7353,74.64,88,40,6.91,scattered clouds
468,Sept-Iles,CA,50.2001,-66.3821,50.52,99,100,19.57,light intensity drizzle
469,Starkville,US,33.4504,-88.8184,59.67,29,0,0.0,clear sky
470,Kholmy,UA,51.871,32.6006,38.44,87,40,11.59,scattered clouds
471,Tricase,IT,39.9304,18.3553,60.15,83,0,11.7,clear sky
472,Kedrovka,RU,55.5333,86.05,36.48,77,100,8.32,overcast clouds
473,Shepetivka,UA,50.1855,27.0637,39.45,81,43,13.18,scattered clouds
474,Barabinsk,RU,55.3571,78.357,42.06,77,100,12.39,overcast clouds
475,Banda Aceh,ID,5.5577,95.3222,78.98,79,92,14.54,light rain
476,North Myrtle Beach,US,33.816,-78.68,55.45,70,0,0.0,clear sky
477,Kalmunai,LK,7.4167,81.8167,78.01,86,99,7.25,overcast clouds
478,Ouesso,CG,1.6136,16.0517,70.66,99,100,1.52,moderate rain
479,Jacareacanga,BR,-6.2222,-57.7528,75.92,90,69,1.05,broken clouds
480,Ashtabula,US,41.7001,-80.7665,44.46,96,100,10.36,overcast clouds
481,Guamal,CO,9.1433,-74.2238,76.68,93,100,3.09,light rain
482,Abu Zabad,SD,12.35,29.25,82.96,43,38,1.1,scattered clouds
483,Quelimane,MZ,-17.8786,36.8883,75.15,83,75,3.44,broken clouds
484,Podyuga,RU,61.095,40.8647,35.06,86,99,6.73,overcast clouds
485,Chiredzi,ZW,-21.05,31.6667,70.79,48,82,5.19,broken clouds
486,Santa Maria,BR,-29.6842,-53.8069,65.88,86,20,6.49,few clouds
487,Benjamin Aceval,PY,-24.9667,-57.5667,73.6,97,89,4.41,overcast clouds
488,Kulhudhuffushi,MV,6.6221,73.07,80.89,79,80,17.34,light rain
489,Kinsale,IE,51.7075,-8.5306,57.24,100,75,13.8,broken clouds
490,Itacare,BR,-14.2775,-38.9967,74.08,83,5,7.87,clear sky
491,Llanes,ES,43.4198,-4.7549,62.89,80,84,9.35,broken clouds
492,Sayyan,YE,15.1718,44.3244,54.37,31,0,4.47,clear sky
493,Mananara,MG,-16.1667,49.7667,67.98,88,42,3.78,scattered clouds
494,Panjab,AF,34.388,67.0233,29.88,86,4,5.06,clear sky
495,Tarut,SA,26.5733,50.0369,79.0,54,100,6.46,overcast clouds
496,Boa Vista,BR,2.8197,-60.6733,75.18,88,40,4.61,light rain
497,Namwala,ZM,-15.7504,26.4384,72.81,35,17,4.25,few clouds
498,Colquechaca,BO,-18.6667,-66.0167,45.43,27,87,4.09,overcast clouds
499,Matagami,CA,49.7502,-77.6328,37.51,93,75,2.3,broken clouds
500,Chulym,RU,55.0997,80.9572,40.75,72,100,11.86,overcast clouds
501,Pakruojis,LT,55.9667,23.8667,36.39,82,32,7.96,scattered clouds
502,Havoysund,NO,70.9963,24.6622,37.63,77,100,27.58,light rain
503,San Francisco,US,37.7749,-122.4194,96.62,39,40,11.01,scattered clouds
504,Tahoua,NE,14.8888,5.2692,82.27,19,20,2.98,few clouds
505,Fianarantsoa,MG,-21.4333,47.0833,56.79,84,94,4.03,overcast clouds
506,Mahibadhoo,MV,3.7833,72.9667,81.43,76,83,14.03,broken clouds
507,Easton,US,40.6884,-75.2207,49.08,65,100,5.75,overcast clouds
508,Xuddur,SO,4.1213,43.8894,71.67,82,34,9.46,scattered clouds
509,Jaguaribe,BR,-5.8906,-38.6219,83.34,56,65,12.57,broken clouds
510,Luanda,AO,-8.8368,13.2343,77.0,83,75,8.05,broken clouds
511,Camana,PE,-16.6228,-72.7111,63.16,81,36,6.93,scattered clouds
512,Tarbes,FR,43.25,0.1667,66.31,82,75,6.91,light rain
513,Tiruppuvanam,IN,9.8333,78.2667,78.57,80,81,2.3,moderate rain
514,Nizhnyaya Tavda,RU,57.6731,66.1725,39.52,90,99,7.05,overcast clouds
515,Luau,AO,-10.7073,22.2247,69.28,61,70,2.98,broken clouds
516,Amfissa,GR,38.525,22.3731,57.49,43,0,6.2,clear sky
517,Rozzano,IT,45.3819,9.1606,63.37,86,0,2.3,clear sky
518,Morondava,MG,-20.2833,44.2833,76.59,85,4,5.73,clear sky
519,Minudasht,IR,37.2289,55.3747,67.37,35,0,8.1,clear sky
520,Melilla,ES,35.2937,-2.9383,70.18,94,100,5.75,overcast clouds
521,Moyale,KE,3.5167,39.0584,68.18,68,46,6.4,scattered clouds
522,Klyuchi,RU,52.2667,79.1667,47.61,41,100,17.07,overcast clouds
523,Dolores,AR,-36.3132,-57.6792,57.92,94,75,6.71,moderate rain
524,Camacha,PT,33.0833,-16.3333,69.22,73,20,6.91,few clouds
525,Lieksa,FI,63.3167,30.0167,38.32,87,100,9.8,overcast clouds
526,Ekibastuz,KZ,51.6667,75.3667,41.2,90,100,24.96,overcast clouds
527,Puerto Asis,CO,0.5133,-76.5007,76.37,87,100,1.66,overcast clouds
528,Tsabong,BW,-26.0217,22.401,74.52,43,23,11.86,few clouds
529,Manicore,BR,-5.8092,-61.3003,78.75,89,0,3.44,clear sky
530,Concepcion,CL,-36.827,-73.0498,53.4,94,100,4.61,overcast clouds
531,Pachino,IT,36.7186,15.0907,67.73,72,0,4.72,clear sky
532,Nogent-Le-Rotrou,FR,48.3333,1.0,58.66,79,100,7.56,overcast clouds
533,New Deer,GB,57.5123,-2.1884,49.44,79,100,13.2,overcast clouds
534,Economy,US,40.6001,-80.2248,42.94,85,100,11.5,overcast clouds
535,Kobylka,PL,52.3395,21.1959,43.92,92,8,6.93,clear sky
536,Alekseyevka,RU,50.6309,38.6903,46.96,90,91,2.82,overcast clouds
537,Solaro,IT,44.8799,9.1732,58.6,91,65,2.19,broken clouds
538,Guacimo,CR,10.2104,-83.6807,77.56,89,65,1.92,broken clouds
539,Salalah,OM,17.0151,54.0924,75.29,69,0,4.61,clear sky
540,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,83,100,17.29,light rain
541,Mahon,ES,39.8885,4.2658,70.36,100,75,8.05,broken clouds
542,Oksfjord,NO,70.2396,22.3479,37.47,92,100,15.52,overcast clouds
543,Mount Darwin,ZW,-16.7725,31.5838,67.1,46,33,7.67,scattered clouds
544,Baillif,GP,16.0202,-61.7463,78.3,79,4,11.97,clear sky
545,Kudahuvadhoo,MV,2.6708,72.8944,80.35,79,96,13.04,overcast clouds
546,Derbent,RU,42.0678,48.2899,62.42,73,99,3.87,overcast clouds
547,Road Town,VG,18.4167,-64.6167,84.29,89,20,4.61,few clouds
548,Sakakah,SA,29.9697,40.2064,71.17,15,100,3.74,overcast clouds
549,Shambu,ET,9.5667,37.1,51.71,84,100,1.01,light rain
550,Willowmore,ZA,-33.2926,23.4895,76.95,40,71,4.32,broken clouds
551,Akhtanizovskaya,RU,45.32,37.1,55.87,69,30,11.07,scattered clouds
552,Tevriz,RU,57.509,72.4042,39.97,88,100,5.01,overcast clouds
553,Ouango,CF,4.3133,22.5552,70.29,99,100,0.85,moderate rain
554,Coihueco,CL,-36.6167,-71.8333,54.34,82,40,8.05,scattered clouds
555,Morant Bay,JM,17.8815,-76.4093,83.82,81,54,6.33,broken clouds
556,Nalut,LY,30.3333,10.85,64.2,51,0,9.1,clear sky
557,Santo Antonio Do Leverger,BR,-15.8656,-56.0767,84.58,38,54,2.28,broken clouds
558,Sinnamary,GF,5.3833,-52.95,79.0,86,54,9.71,broken clouds
559,Limanowa,PL,49.7059,20.422,45.14,92,61,4.16,broken clouds
560,Toamasina,MG,-18.1667,49.3833,64.4,94,20,0.0,few clouds
561,Joacaba,BR,-27.1781,-51.5047,65.71,96,46,1.39,moderate rain
562,Bathurst,AU,-33.4166,149.5806,61.97,89,100,1.01,moderate rain
563,Uyo,NG,5.0333,7.9266,73.69,95,96,3.22,light rain
564,San Ramon,US,37.7799,-121.978,93.47,20,0,6.91,clear sky
565,Male,MV,4.1748,73.5089,82.35,83,40,14.97,scattered clouds
566,Persianovskiy,RU,47.5137,40.1075,50.56,100,75,8.95,broken clouds
567,Altay,CN,47.8667,88.1167,33.67,58,100,1.97,overcast clouds
568,Sinop,TR,41.7711,34.8709,55.18,91,87,2.8,overcast clouds
569,Ramhormoz,IR,31.28,49.6035,77.88,23,0,1.48,clear sky
570,Odienne,CI,9.51,-7.5692,71.94,85,100,2.26,light rain
571,Sao Jose Da Tapera,BR,-9.5583,-37.3811,72.91,73,68,13.35,broken clouds
572,Lubao,PH,14.9167,120.55,80.31,92,100,4.7,light rain
573,Trelew,AR,-43.249,-65.3051,77.74,19,82,7.65,broken clouds
574,Iskateley,RU,67.6803,53.1512,32.7,99,100,8.55,light snow
575,Punta Alta,AR,-38.8759,-62.0736,69.3,50,91,6.53,overcast clouds
576,Borne,NL,52.3,6.75,47.37,87,87,5.01,overcast clouds
577,Ust-Kalmanka,RU,52.1207,83.305,44.44,46,100,15.26,overcast clouds
578,Nokaneng,BW,-19.6667,22.2667,70.88,56,93,3.04,overcast clouds
579,Ahar,IR,38.4774,47.0699,57.15,52,46,5.55,scattered clouds
580,Cervo,ES,43.6702,-7.4101,60.96,69,38,10.6,scattered clouds
581,Maragogi,BR,-9.0122,-35.2225,75.18,81,48,11.05,scattered clouds
582,Meulaboh,ID,4.1363,96.1285,75.15,88,100,2.3,overcast clouds
583,Villa Maria,AR,-32.4075,-63.2402,60.82,94,100,3.96,overcast clouds
584,Hvide Sande,DK,56.0045,8.1294,47.7,74,61,12.77,broken clouds
585,Varhaug,NO,58.6147,5.6457,44.89,78,79,3.33,broken clouds
586,Dourbali,TD,11.8091,15.8632,84.15,23,94,7.54,overcast clouds
587,Soledade,BR,-28.8183,-52.5103,59.95,94,46,4.59,scattered clouds
588,Sucua,EC,-2.4667,-78.1667,75.94,68,40,6.91,light rain
589,Formosa,AR,-26.1775,-58.1781,73.38,94,100,4.61,thunderstorm with rain
590,Awbari,LY,26.5921,12.7805,68.88,42,22,5.39,few clouds
591,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,87.01,29,67,9.42,broken clouds
592,Mtwara,TZ,-10.2667,40.1833,72.77,81,56,8.59,broken clouds
593,Waterloo,CA,43.4668,-80.5164,37.65,94,100,14.97,moderate rain
594,Sur,OM,22.5667,59.5289,80.8,37,100,3.71,overcast clouds
595,Dalmatovo,RU,56.26,62.9362,38.21,94,99,5.53,overcast clouds
596,Maralal,KE,1.0968,36.698,58.28,78,56,6.55,broken clouds
597,San Andres,CO,12.5847,-81.7006,84.22,74,20,5.75,few clouds
598,Nara,JP,34.6851,135.8049,56.91,57,0,0.36,clear sky
599,Sechura,PE,-5.5569,-80.8222,65.68,72,98,18.66,overcast clouds
600,Gao,ML,16.6362,1.637,81.41,19,0,10.33,clear sky
601,Jalu,LY,29.0331,21.5482,72.34,49,72,6.33,broken clouds
602,Shostka,UA,51.863,33.4698,39.33,87,41,11.81,scattered clouds
603,Sehithwa,BW,-20.4667,22.7167,75.24,52,100,4.34,overcast clouds
604,Urumqi,CN,43.801,87.6005,41.95,87,0,2.24,clear sky
605,Pulaski,US,34.7668,-92.3001,57.31,27,20,5.75,few clouds
606,Cururupu,BR,-1.8283,-44.8683,77.63,82,63,5.46,broken clouds
607,Segezha,RU,63.7415,34.3222,35.28,89,95,14.29,overcast clouds
608,Belem De Sao Francisco,BR,-8.7539,-38.9658,80.56,48,25,23.49,scattered clouds
609,Castletown,IE,53.0281,-9.0686,55.89,90,100,7.49,overcast clouds
610,Gobabis,NA,-22.45,18.9667,68.54,50,31,9.01,scattered clouds
611,Njeru,UG,0.4186,33.1731,64.81,88,96,0.94,light rain
612,Kasongo-Lunda,CD,-6.4667,16.8167,70.74,96,72,1.16,light rain
613,Kalabo,ZM,-14.97,22.6814,72.27,49,72,12.1,broken clouds
614,Edenderry,IE,53.3453,-7.0497,57.22,94,100,13.6,overcast clouds
615,Ugoofaaru,MV,5.6667,73.0,81.1,79,94,17.58,overcast clouds
616,Geraldton,AU,-28.7667,114.6,63.01,88,40,4.61,scattered clouds
617,Las Palmas,ES,28.4204,-14.0131,70.59,83,40,9.22,scattered clouds
618,Kyrylivka,UA,46.3759,35.3675,55.29,83,100,13.6,overcast clouds
619,Cherdyn,RU,60.403,56.4787,32.43,92,62,7.7,broken clouds
620,Tashtyp,RU,52.7939,89.8983,29.1,83,61,1.81,broken clouds
621,Gunib,RU,42.3876,46.9651,53.38,64,73,6.69,broken clouds
622,Atasu,KZ,48.6814,71.6433,46.54,57,100,24.65,overcast clouds
623,Mumford,GH,5.2618,-0.759,77.63,88,6,9.91,light rain
624,Outjo,NA,-20.1167,16.15,72.09,41,62,9.71,broken clouds
625,Tulum,MX,20.2167,-87.4667,73.63,97,100,7.49,light rain
626,Gamba,GA,-2.65,10.0,76.53,87,97,7.9,light rain
627,Quballat,TN,36.5418,9.6633,66.07,60,0,0.65,clear sky
628,Pangody,RU,65.85,74.4859,35.71,96,100,14.2,overcast clouds
629,Abeche,TD,13.8292,20.8324,83.35,26,4,7.16,clear sky
630,Horta,PT,38.5333,-28.6333,64.02,80,100,7.0,overcast clouds
631,Cabedelo,BR,-6.9811,-34.8339,75.87,72,9,14.61,clear sky
632,Salinas,US,36.6777,-121.6555,98.01,23,75,11.5,smoke
633,Chortomlyk,UA,47.6232,34.142,52.77,80,94,9.93,overcast clouds
634,Vagay,RU,57.9375,69.0217,40.8,88,100,5.97,overcast clouds
635,Mecca,SA,21.4267,39.8261,79.84,54,0,2.62,clear sky
636,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,81.86,59,76,6.02,broken clouds
637,Beruwala,LK,6.4788,79.9828,77.41,90,100,9.24,overcast clouds
638,Kembe,CF,4.6228,21.8865,69.8,98,100,1.54,moderate rain
639,Arrifes,PT,37.7667,-25.7,62.85,82,75,11.5,shower rain
640,Mbanza-Ngungu,CD,-5.25,14.8667,71.37,81,44,8.59,scattered clouds
641,Tarashcha,UA,49.5583,30.4926,44.83,83,98,17.72,light rain
642,Diapaga,BF,12.0708,1.7889,79.48,39,90,4.68,overcast clouds
643,Oistins,BB,13.0667,-59.5333,80.69,83,40,9.22,scattered clouds
644,Bizhbulyak,RU,53.6967,54.2642,39.2,93,100,3.89,overcast clouds
645,Strzelce Opolskie,PL,50.5107,18.3006,44.13,85,8,3.0,clear sky
646,Ankazoabo,MG,-22.2833,44.5167,74.26,52,25,5.91,scattered clouds
647,Machiques,VE,10.0644,-72.545,78.15,89,70,6.53,broken clouds
648,Farah,AF,32.5,62.5,55.53,49,0,5.59,clear sky
649,Sobradinho,BR,-12.8333,-39.1,71.08,81,5,6.51,clear sky
650,Rio Pardo De Minas,BR,-15.6097,-42.5397,77.36,37,37,11.65,scattered clouds
651,Marinhas,PT,41.5591,-8.783,61.27,86,3,16.96,clear sky
652,Lucea,JM,18.451,-78.1736,75.85,75,74,4.59,light rain
653,Bayonet Point,US,28.3267,-82.6834,63.12,54,30,10.78,scattered clouds
654,Ciudad Bolivar,VE,8.1222,-63.5497,86.72,55,97,6.62,overcast clouds
655,Taoudenni,ML,22.6783,-3.9836,85.86,16,84,13.29,broken clouds
656,Bingerville,CI,5.3584,-3.8869,77.94,94,20,6.91,few clouds
657,Laguna,US,38.421,-121.4238,93.15,25,0,8.05,clear sky
658,Padang,ID,-0.9492,100.3543,71.65,88,100,3.67,light rain
659,Ardakan,IR,32.31,54.0175,63.84,34,0,6.22,clear sky
660,El Alto,PE,-4.2714,-81.2147,62.26,81,100,18.79,overcast clouds
661,Kankon,IN,15.0167,74.0167,78.6,90,96,5.32,overcast clouds
662,Montepuez,MZ,-13.1256,38.9997,66.83,84,2,3.94,clear sky
663,Sao Sebastiao,BR,-23.76,-45.4097,71.22,93,31,5.32,scattered clouds
664,Le Port,RE,-20.9373,55.2919,69.76,84,56,1.54,broken clouds
665,Rasra,IN,25.85,83.85,68.74,66,0,3.53,clear sky
666,Elliot,ZA,-31.3333,27.85,63.7,53,32,6.89,scattered clouds
667,Oussouye,SN,12.485,-16.5469,80.69,81,46,4.27,scattered clouds
668,Conde,BR,-7.2597,-34.9075,74.66,83,20,5.75,few clouds
669,Boende,CD,-0.2167,20.8667,69.51,99,100,0.58,overcast clouds
670,Lugovoy,KZ,42.9472,72.7644,42.01,62,79,5.79,broken clouds
671,Lofos,GR,40.2447,22.3797,60.82,37,0,3.2,clear sky
672,Iquique,CL,-20.2208,-70.1431,60.84,78,18,4.85,few clouds
673,Kurchum,KZ,48.5722,83.6542,39.79,56,100,6.24,overcast clouds
674,Filingue,NE,14.3521,3.3168,86.49,18,49,1.72,scattered clouds
675,Shevchenkove,UA,49.6959,37.1735,46.51,93,86,5.68,overcast clouds
676,Kalangala,UG,-0.3089,32.225,71.44,73,99,4.21,overcast clouds
677,Mbalmayo,CM,3.5167,11.5,68.32,99,100,3.42,overcast clouds
678,Vredendal,ZA,-31.6683,18.5012,60.15,95,28,11.3,scattered clouds
679,Buta,CD,2.7858,24.73,69.69,99,100,0.85,overcast clouds
680,Kathmandu,NP,27.7167,85.3167,57.42,88,40,2.3,scattered clouds
681,Derzhavinsk,KZ,51.1,66.3167,43.43,78,100,12.03,overcast clouds
682,Elat,IL,29.5581,34.9482,75.04,69,0,9.22,clear sky
683,Raudeberg,NO,61.9875,5.1352,40.96,63,97,3.49,overcast clouds
684,Lisakovsk,KZ,52.5369,62.4936,41.88,82,100,9.01,light rain
685,Sumkino,RU,58.1108,68.3244,40.24,92,100,7.05,overcast clouds
686,Paamiut,GL,61.994,-49.6678,33.01,64,63,33.02,broken clouds
687,Kinshasa,CD,-4.3246,15.3215,76.64,75,67,3.91,broken clouds
688,Aljezur,PT,37.3191,-8.8033,66.81,88,100,12.37,overcast clouds
689,Entre Rios,BR,-11.9419,-38.0844,68.83,83,17,5.91,few clouds
690,Huanuco,PE,-9.9329,-76.2415,69.22,77,84,7.36,broken clouds
